Hat Adı;İstasyon Adı;İlçe Adı;İstasyon Büyüklüğü;Yürüyen Merdiven Sayısı;Asansör Sayısı
T1;FINDIKZADE;FATİH;330;0;0
T1;ÇAPA;FATİH;717;0;0
T1;PAZARTEKKE;FATİH;372;0;0
T1;TOPKAPI;ZEYTİNBURNU;271;0;1
T1;CEVİZLİBAĞ;ZEYTİNBURNU;752;0;0
T1;MERKEZEFENDİ;ZEYTİNBURNU;338;0;0
T1;AKŞEMSETTİN;ZEYTİNBURNU;329;0;0
T1;MİTHATPAŞA;ZEYTİNBURNU;413;0;0
T1;ZEYTİNBURNU;BAKIRKÖY;454;0;0
T1;MEHMETAKİF;GÜNGÖREN/BAHÇELİEVLER;174;0;0
T1;MERTER/ Tekstil Merkezi /Keresteciler;GÜNGÖREN/BAHÇELİEVLER;346;0;0
T1;GÜNGÖREN;GÜNGÖREN;517;0;0
T1;AKINCILAR;GÜNGÖREN;211;0;0
T1;SOĞANLI;GÜNGÖREN;216;0;0
T1;YAVUZSELİM / Cami;GÜNGÖREN;209;0;0
T1;GÜNEŞTEPE;GÜNGÖREN;290;0;0
T1;BAĞCILAR;BAĞCILAR;517;0;0
T4;TOPKAPI;ZEYTİNBURNU;951;0;0
T4;FETİHKAPI;FATİH;564;0;0
T4;VATAN;EYÜPSULTAN;1.058;4;2
T4;EDİRNEKAPI;EYÜPSULTAN;2.304;4;4
T4;ŞEHİTLİK;EYÜPSULTAN;505;0;0
T4;DEMİRKAPI;EYÜPSULTAN;505;0;0
T4;TOPÇULAR;EYÜPSULTAN;1.680;2;1
T4;RAMİ;BAYRAMPAŞA;1.680;2;1
T4;ULUYOL BEREÇ;BAYRAMPAŞA;1.680;2;1
T4;SAĞMALCILAR;BAYRAMPAŞA;505;0;0
T4;BOSNA ÇUKURÇEŞME;BAYRAMPAŞA;505;0;0
T4;ALİ FUAT BAŞGİL;BAYRAMPAŞA;1.680;2;1
T4;TAŞKÖPRÜ;BAYRAMPAŞA;1.680;2;1
T4;KARADENİZ;BAYRAMPAŞA;1.680;2;1
T4;METRİS;GAZİOSMANPAŞA;800;0;0
T4;CUMHURİYET MAHALLESİ;SULTANGAZİ;960;0;0
T4;50. YIL BAŞTABYA;SULTANGAZİ;505;0;0
T4;HACIŞÜKRÜ;SULTANGAZİ;960;0;0
T4;YENİMAHALLE;SULTANGAZİ;960;0;0
T4;SULTANÇİFTLİĞİ;SULTANGAZİ;960;0;0
T4;CEBECİ;SULTANGAZİ;960;0;0
T4;MESCİD-İ SELAM;SULTANGAZİ;505;0;0
T3;İDO -İSKELE;KADIKÖY;0;0;0
T3;CAMİİ;KADIKÖY;0;0;0
T3;ÇARŞI;KADIKÖY;0;0;0
T3;ALTIYOL;KADIKÖY;0;0;0
T3;BAHARİYE;KADIKÖY;0;0;0
T3;KİLİSE;KADIKÖY;0;0;0
T3;MODA İLKOKULU;KADIKÖY;0;0;0
T3;MODA CADDESİ;KADIKÖY;0;0;0
T3;MÜHÜRDAR;KADIKÖY;0;0;0
T3;DAMGA SOKAK;KADIKÖY;0;0;0
TF1;EYÜP ;EYÜP;0;0;1
TF1;PİYERLOTİ;EYÜP;0;2;1
TF2;MAÇKA;ŞİŞLİ;0;0;0
TF2;TAŞKIŞLA;ŞİŞLİ;0;0;0
M7;KABATAŞ ;BEYOĞLU;15.994;15;6
M7;BEŞİKTAŞ;BEŞİKTAŞ;10.429;10;8
M7;YILDIZ;BEŞİKTAŞ;16.542;20;10
M7; FULYA - DARPHANE;BEŞİKTAŞ;13.461;15;9
M7;MECİDİYEKÖY;ŞİŞLİ;20.836;29;11
M7;ÇAĞLAYAN;ŞİŞLİ;15.157;16;15
M7;KAĞITHANE;KAĞITHANE;5.281;8;4
